,Location,Household Type,TimeFrame,DataFormat,Average Income,Fips
5784,11208,All Households,2019,Dollars,42403,11208
5786,10030,All Households,2019,Dollars,42348,10030
5789,10039,All Households,2019,Dollars,42278,10039
5806,10473,All Households,2019,Dollars,41508,10473
5834,11354,All Households,2019,Dollars,40786,11354
5836,11219,All Households,2019,Dollars,40683,11219
5857,11206,All Households,2019,Dollars,39753,11206
5860,11207,All Households,2019,Dollars,39382,11207
5861,10467,All Households,2019,Dollars,39372,10467
5884,10468,All Households,2019,Dollars,37804,10468
5899,10002,All Households,2019,Dollars,36982,10002
5925,10458,All Households,2019,Dollars,35423,10458
5946,10029,All Households,2019,Dollars,33720,10029
5949,10472,All Households,2019,Dollars,33498,10472
5961,11224,All Households,2019,Dollars,32549,11224
5990,10451,All Households,2019,Dollars,30349,10451
5999,10035,All Households,2019,Dollars,29799,10035
6000,10457,All Households,2019,Dollars,29767,10457
6003,10452,All Households,2019,Dollars,29579,10452
6006,10459,All Households,2019,Dollars,29284,10459
6007,11239,All Households,2019,Dollars,29172,11239
6008,10453,All Households,2019,Dollars,29136,10453
6015,10455,All Households,2019,Dollars,28585,10455
6023,10456,All Households,2019,Dollars,27917,10456
6028,10460,All Households,2019,Dollars,27545,10460
6042,11212,All Households,2019,Dollars,26521,11212
6060,10474,All Households,2019,Dollars,22965,10474
6066,10454,All Households,2019,Dollars,21447,10454
