the_geom,NAME,HOUSENUM,STREETNAME,CITY,ZIP,URL,BIN,BBL
POINT (-73.99740081950995 40.69055915437317),Long Island College Hospital School Of Nursing,339,HICKS STREET,Brooklyn,11201,http://www.albany.net/~orchard/lich.html,3002928,3002840001
POINT (-73.98565829535117 40.69463215570763),Polytechnic University / Brooklyn-Metrotech Campus,6,METROTECH CENTER,Brooklyn,11201,http://www.poly.edu/index_ie.cfm,3331744,3001427501
POINT (-73.94248381837252 40.701296859100935),"Boricua College, Graham Center",9,GRAHAM AVENUE,Brooklyn,11206,http://www.boricuacollege.edu/,3071650,3031260001
POINT (-74.00479825356436 40.71110496435334),Pace University / New York City Campus,1,PACE PLAZA,New York,10038,http://www.pace.edu/,1001357,1001020001
POINT (-74.01263555490442 40.715434404674916),St. John's University / Manhattan Campus,101,MURRAY STREET,New York,10007,http://www.stjohns.edu/pls/portal30/sjudev.school.adminhome,1001542,1001420100
POINT (-73.98514610080309 40.770821960815844),Fordham University/Lincoln Center Campus,113,WEST 60 STREET,New York,10023,http://www.fordham.edu/,1028830,1011320020
POINT (-73.9616669913283 40.806815074075836),Columbia University,1130,AMSTERDAM AVENUE,New York,10027,http://www.columbia.edu/,1084846,1018860001
POINT (-73.96148487501755 40.81239324826694),Manhattan School Of Music,120,CLAREMONT AVENUE,New York,10027,http://www.msmnyc.edu/,1076684,1019930001
POINT (-73.95662756289357 40.762889704137415),"Rockefeller University, The",1230,YORK AVENUE,New York,10021,http://www.rockefeller.edu/,0,
POINT (-74.01295986865433 40.71458526392435),"College Of New Rochelle, The / School Of New Resources/District Council 37 Campus",125,BARCLAY STREET,New York,10007,http://www.cnr.edu/,1001417,1001280026
POINT (-73.95472938360106 40.76473776409553),Cornell University / Weill Medical College Of Cornell University,1300,YORK AVENUE,New York,10021,http://www.med.cornell.edu/,1084785,1014800001
POINT (-73.94772625973405 40.80824453429463),"College Of New Rochelle, The / School Of New Resources/Rosa Parks Campus",144,WEST 125 STREET,New York,10027,http://www.cnr.edu/,1057819,1019090009
POINT (-73.97466142784745 40.78642497243753),New School University / Mannes College Of Music,150,WEST 85 STREET,New York,10024,http://www.mannes.edu/,1032132,1012150053
POINT (-73.96245272240729 40.76858064958243),New York School Of Interior Design,170,EAST 70 STREET,New York,10021,http://www.nysid.edu/,1042502,1014040044
POINT (-73.94025622759209 40.80494109353117),New York College Of Podiatric Medicine,1800,PARK AVENUE,New York,10035,http://www.nycpm.edu/,1081382,1017490033
POINT (-73.94169697317783 40.80324528879269),Helene Fuld College Of Nursing Of North General Hospital,1879,MADISON AVENUE,New York,10035,http://www.helenefuld.edu/,1077376,1017470035
POINT (-73.99787780140895 40.73207510379186),New York University,22,WASHINGTON SQUARE NORTH,New York,10011,http://www.nyu.edu/,1080111,1005510011
POINT (-73.95974673761155 40.76872195160445),Marymount Manhattan College,221,EAST 71 STREET,New York,10021,http://marymount.mmm.edu/,1083341,1014260035
POINT (-73.9953620336229 40.74868111655497),"College Of New Rochelle, The / School Of New Resources/New York Theological Seminary Campus",252,WEST 29 STREET,New York,10001,http://www.cnr.edu/,1014271,1007780070
POINT (-73.99057872656032 40.74240548177522),Touro College,27,WEST 23 STREET,New York,10010,http://www.touro.edu/,1015580,1008250024
POINT (-73.99539777630206 40.724530937742024),Pratt Institute / Manhattan Campus,295,LAFAYETTE STREET,New York,10012,http://www.pratt.edu/,1007941,1005100045
POINT (-73.99162508259106 40.72813483481943),"Cooper Union, The / For The Advancement Of Science And Art Suite 300",30,COOPER SQUARE,New York,10003,http://www.cooper.edu/,1008779,1005440048
POINT (-73.96394826057096 40.80913269168725),Barnard College,3009,BROADWAY,New York,10027,http://www.barnard.edu/,1082351,1019890001
POINT (-73.96001031213936 40.811801634463286),Jewish Theological Seminary / List College Of Jewish Studies,3080,BROADWAY,New York,10027,http://www.jtsa.edu/,1059669,1019770001
POINT (-73.9810549374029 40.73686062472525),Phillips Beth Israel School Of Nursing,310,EAST 22 STREET,New York,10010,http://wehealny.org/bischoolofnursing/index.html,1020567,1009270055
POINT (-73.94587880144374 40.83347318351127),Boricua College,3755,BROADWAY,New York,10032,http://www.boricuacollege.edu/,1063250,1021340053
POINT (-73.9553818130165 40.76523174250826),Cornell University / Weill Graduate School Of Medical Sciences Of Cornell University,445,EAST 69 STREET,New York,10021,http://www.med.cornell.edu/gradschool/,1045585,1014640021
POINT (-73.98864638744395 40.767873514551425),American Academy Mcallister Institute Of Funeral Service,450,WEST 56 STREET,New York,10019,http://www.a-a-m-i.org/,1026841,1010650001
POINT (-73.92980468839204 40.85053977419417),Yeshiva University,500,WEST 185 STREET,New York,10033,http://www.yu.edu/,1063719,1021560016
POINT (-73.96028717108886 40.81029418631306),"Teachers College, Columbia University",525,WEST 120 STREET,New York,10027,http://www.tc.columbia.edu/,1083643,1019750001
POINT (-73.99649861360797 40.736553887838184),New School University / Jazz And Contemporary Music Program,55,WEST 13 STREET,New York,10011,http://www.newschool.edu/jazz/,1009722,1005770071
POINT (-73.9666683641188 40.80557808768119),Bank Street College Of Education / Graduate School Of Education,610,WEST 112 STREET,New York,10025,http://www.bankstreet.edu/,1057331,1018940056
POINT (-73.99747679976271 40.73526236196918),New School University / Eugene Lang College,65,WEST 11 STREET,New York,10011,http://www.lang.edu/,1009567,1005750017
POINT (-73.95026316293709 40.81940116680288),The City College of New York,160,CONVENT AVENUE,New York,10031,http://www1.ccny.cuny.edu/,1084081,1019570200
